form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Labels (Add Back in Office),Sample Label
rec-7b18cb3966dc415ea829d29a712d26ca,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d8eb8968291c4e15b5626610c994869f,Tooth,,,cl-EV194
rec-e353df0bbeee440ebadfa2f8d4e990e7,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-34ee0ff190154798b328407c5d0af497,Hair,15142,,cl-EV187
rec-82815a7843cd4114903b16a89188c738,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-34ee0ff190154798b328407c5d0af497,Hair,15143,,cl-EV188
rec-b83e8bba15054da8a9cc86e46306c2c8,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-34ee0ff190154798b328407c5d0af497,Tissue,15144,,cl-EV189
rec-67a6b406494443e18131833e130121ed,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-34ee0ff190154798b328407c5d0af497,Tooth,15146,,cl-EV190
rec-f5ebfaadc1c040e78b67356611c03aee,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ff1cb303fa4548d68c72592028372284,Hair,14625,,cl-EV184
rec-cd42e1eda0004b9cbd04f6c79d0cca34,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ff1cb303fa4548d68c72592028372284,Hair,14626,,cl-EV185
rec-e777a74fc64a4540ae836340c10deaf7,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ff1cb303fa4548d68c72592028372284,Tissue,15145,,cl-EV186
rec-f6bf7106c87c462da38f3b13482dcdb2,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-7a24dcf1fa2649d6a13ac0f54b64eb79,Hair,14592,,cl-EV182
rec-5d5a4c13621843a3a5fd09573b5b30ce,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-7a24dcf1fa2649d6a13ac0f54b64eb79,Hair,14596,,cl-EV183
rec-42844566b3734f18b779602125a3df7c,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a7918109ee44f4923f38930785dfe5,Hair,14588,,cl-EV178
rec-b004edce05424eb09db3009cb0bfc873,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a7918109ee44f4923f38930785dfe5,Hair,14589,,cl-EV179
rec-b0cd989c6bdc4f4d860dcc6c8511b53c,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a7918109ee44f4923f38930785dfe5,Tissue,14590,,cl-EV180
rec-8625e95917a849d2aab8a7e9932d8c3c,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a7918109ee44f4923f38930785dfe5,Tooth,14591,,cl-EV181
rec-d6519a663b724f4a84ffa8d85d9c9c95,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-84acd859cd6a462fa2126714374f4776,Hair,14583,,cl-EV174
